text,source,cleaned_text,sentiment,score
"Cybercriminals Allegedly Used a StubHub Backdoor to Steal Taylor Swift Tickets Plus: The world’s “largest illicit online marketplace” gets hit by regulators, police seize the Garantex crypto exchange, and scammers trick targets by making up ransomware attacks.",NewsAPI,cybercriminals allegedly used a stubhub backdoor to steal taylor swift tickets plus the world s largest illicit online marketplace gets hit by regulators police seize the garantex crypto exchange and scammers trick targets by making up ransomware attacks ,Negative,-0.6705
SpaceX Shares Stunning Polar Views From Its Historic Fram2 Mission SpaceX launched the private Fram2 crew into an orbit never before traveled by humans.,NewsAPI,spacex shares stunning polar views from its historic fram2 mission spacex launched the private fram2 crew into an orbit never before traveled by humans ,Positive,0.6486
"Watch Live as SpaceX’s Private Fram2 Crew Returns From Polar Orbit After splashdown, the crew will attempt to exit the vehicle without assistance to assess their physical capabilities.",NewsAPI,watch live as spacex s private fram2 crew returns from polar orbit after splashdown the crew will attempt to exit the vehicle without assistance to assess their physical capabilities ,Neutral,0.0
Crypto Daybook Americas: Bitcoin Slumps as Investors Flock to 'Doomsday Asset' Gold ,NewsAPI,crypto daybook americas bitcoin slumps as investors flock to doomsday asset gold ,Negative,-0.3182
"Tesla stock bleeds, recession fears — and Bitcoin $200,000: Markets news roundup ",NewsAPI,tesla stock bleeds recession fears and bitcoin 200 000 markets news roundup ,Negative,-0.6808
"Crypto Community Buzzes as $250 Million Bitcoin Whale Returns from Hibernation, Is It A Good Sign? ",NewsAPI,crypto community buzzes as 250 million bitcoin whale returns from hibernation is it a good sign ,Positive,0.4404
Think You Know Bitcoin? Here's 1 Little-Known Fact You Can't Overlook. ,NewsAPI,think you know bitcoin here s 1 little known fact you can t overlook ,Neutral,0.0
What Would Make Bitcoin Fall to Zero? 4 Things That Give It Value ,NewsAPI,what would make bitcoin fall to zero 4 things that give it value ,Positive,0.34
"""Strategie nicht getestet"": GameStop will Cash-Reserven in Bitcoin investieren Mit 500.000 gekauften Bitcoin hält MicroStrategy mehr als jede andere Firma. Nun will der Videospielhändler GameStop ebenfalls in großen Umfang einsteigen.",NewsAPI, strategie nicht getestet gamestop will cash reserven in bitcoin investieren mit 500 000 gekauften bitcoin hält microstrategy mehr als jede andere firma nun will der videospielhändler gamestop ebenfalls in großen umfang einsteigen ,Neutral,0.0
"Monthly jobs report to be released. And, the White House to host a crypto event The Labor Department will release the monthly jobs report card today, which is expected to show solid growth. But that's not the whole picture. And, the White House will host a cryptocurrency summit.",NewsAPI,monthly jobs report to be released and the white house to host a crypto event the labor department will release the monthly jobs report card today which is expected to show solid growth but that s not the whole picture and the white house will host a cryptocurrency summit ,Positive,0.2732
"Bitcoin & Co.: Polizei stellt Kryptogeld im Wert von zehn Millionen Euro sicher Im Zusammenhang mit Rauschgift-Geschäften, die über das Darknet liefen, wurden große Mengen Bitcoin und andere Kryptowährungen beschlagnahmt.",NewsAPI,bitcoin co polizei stellt kryptogeld im wert von zehn millionen euro sicher im zusammenhang mit rauschgift geschäften die über das darknet liefen wurden große mengen bitcoin und andere kryptowährungen beschlagnahmt ,Negative,-0.5994
"Los bancos pasaron años criticando las criptomonedas. El BBVA pronto permitirá operar con bitcoin y ETH desde su app Hace casi exactamente cuatro años que el Banco de España (BdE) y la Comisión Nacional de Mercados y Competencia (CNMV) publicaron un comunicado conjunto. En él advertían del riesgo de invertir en criptomonedas, sobre todo debido a a su ""extrema volatilidad, c…",NewsAPI,los bancos pasaron años criticando las criptomonedas el bbva pronto permitirá operar con bitcoin y eth desde su app hace casi exactamente cuatro años que el banco de españa bde y la comisión nacional de mercados y competencia cnmv publicaron un comunicado conjunto en él advertían del riesgo de invertir en criptomonedas sobre todo debido a a su extrema volatilidad c ,Neutral,0.0
"American Bitcoin: Trump-Familie will größten Bitcoin-Miner aufbauen Die Familie von US-Präsident Donald Trump weitet ihr Engagement in der Kryptowirtschaft aus. Sie will eine eigene Bitcoin-Reserve einrichten. (Bitcoin, Politik)",NewsAPI,american bitcoin trump familie will größten bitcoin miner aufbauen die familie von us präsident donald trump weitet ihr engagement in der kryptowirtschaft aus sie will eine eigene bitcoin reserve einrichten bitcoin politik ,Negative,-0.2263
Trump’s Crypto Reserve Is Really Happening Now what?,NewsAPI,trump s crypto reserve is really happening now what ,Neutral,0.0
Motion Sickness Hits Hard as Space Tourists Describe Polar Orbit Adventure After adjusting to microgravity—and getting through a few bouts of vomiting—the astronauts got to work in polar orbit.,NewsAPI,motion sickness hits hard as space tourists describe polar orbit adventure after adjusting to microgravity and getting through a few bouts of vomiting the astronauts got to work in polar orbit ,Positive,0.2263
"Hay 28 milmillonarios por las criptomonedas en el mundo. Solo 11 de ellos lo son por invertir en bitcoin El año pasado pudimos echarle un ojo al informe de riqueza global de 2023, elaborado por UBS y Credit Suisse. En él observamos que, según los datos, en el mundo había aproximadamente 59,4 millones de personas con un patrimonio superior a un millón de dólares.…",NewsAPI,hay 28 milmillonarios por las criptomonedas en el mundo solo 11 de ellos lo son por invertir en bitcoin el año pasado pudimos echarle un ojo al informe de riqueza global de 2023 elaborado por ubs y credit suisse en él observamos que según los datos en el mundo había aproximadamente 59 4 millones de personas con un patrimonio superior a un millón de dólares ,Positive,0.7269
"8.000 BTC im Müll: Gericht lehnt Suche nach Bitcoin-Festplatte erneut ab James Howells darf auf der Mülldeponie von Newport weiterhin nicht nach seiner 8.000-Bitcoin-Festplatte suchen. Sein Berufungsantrag wurde abgelehnt. (Bitcoin, Speichermedien)",NewsAPI,8 000 btc im müll gericht lehnt suche nach bitcoin festplatte erneut ab james howells darf auf der mülldeponie von newport weiterhin nicht nach seiner 8 000 bitcoin festplatte suchen sein berufungsantrag wurde abgelehnt bitcoin speichermedien ,Neutral,0.0
"Este millonario del Bitcoin pagó a SpaceX para hacer el primer vuelo espacial alrededor de los polos: lo ha conseguido Las imágenes de la misión Fram2 no decepcionan. Por primera vez en la historia, hay humanos sobrevolando la Tierra desde el espacio en órbita polar. Y no porque lo haya financiado una agencia espacial como la NASA o la ESA. Se trata de una misión privada de S…",NewsAPI,este millonario del bitcoin pagó a spacex para hacer el primer vuelo espacial alrededor de los polos lo ha conseguido las imágenes de la misión fram2 no decepcionan por primera vez en la historia hay humanos sobrevolando la tierra desde el espacio en órbita polar y no porque lo haya financiado una agencia espacial como la nasa o la esa se trata de una misión privada de s ,Negative,-0.25
SpaceX lanzará la semana que viene el primer vuelo espacial polar de la historia. Su cliente: un magnate del Bitcoin Cosas increíbles ocurren al mezclar grandes patrimonios con la capacidad de lanzamiento de SpaceX. La primera actividad extravehicular privada o el vuelo tripulado a mayor altitud desde el programa Apolo fueron dos grandes hitos de la misión Polaris Dawn. Per…,NewsAPI,spacex lanzará la semana que viene el primer vuelo espacial polar de la historia su cliente un magnate del bitcoin cosas increíbles ocurren al mezclar grandes patrimonios con la capacidad de lanzamiento de spacex la primera actividad extravehicular privada o el vuelo tripulado a mayor altitud desde el programa apolo fueron dos grandes hitos de la misión polaris dawn per ,Neutral,0.0
Strategische Bitcoin-Reserve: Donald Trump macht Bitcoin zur Staatsangelegenheit Mit einer neuen Durchführungsverordnung schafft Donald Trump eine strategische Bitcoin-Reserve für die USA. Ein kluger Schachzug gegen geopolitische Rivalen oder nur Symbolpolitik?,NewsAPI,strategische bitcoin reserve donald trump macht bitcoin zur staatsangelegenheit mit einer neuen durchführungsverordnung schafft donald trump eine strategische bitcoin reserve für die usa ein kluger schachzug gegen geopolitische rivalen oder nur symbolpolitik ,Negative,-0.5994
Strategische Bitcoin-Reserve: Donald Trump macht Bitcoin zur Staatsangelegenheit Mit einer neuen Durchführungsverordnung schafft Donald Trump eine strategische Bitcoin-Reserve für die USA. Ein kluger Schachzug gegen geopolitische Rivalen oder nur Symbolpolitik?,NewsAPI,strategische bitcoin reserve donald trump macht bitcoin zur staatsangelegenheit mit einer neuen durchführungsverordnung schafft donald trump eine strategische bitcoin reserve für die usa ein kluger schachzug gegen geopolitische rivalen oder nur symbolpolitik ,Negative,-0.5994
"Operar con bitcoin en bancos como el BBVA es estupendo salvo por una cosa: la pelota estará siempre en tu tejado El BBVA acaba de convertirse en el primer gran banco tradicional en permitir a sus clientes operar con criptomonedas. Lo anunciaba esta semana tras recibir la llamada licencia MiCA (Markets in Crypto Assets), la regulación europea que se aprobó en abril de 20…",NewsAPI,operar con bitcoin en bancos como el bbva es estupendo salvo por una cosa la pelota estará siempre en tu tejado el bbva acaba de convertirse en el primer gran banco tradicional en permitir a sus clientes operar con criptomonedas lo anunciaba esta semana tras recibir la llamada licencia mica markets in crypto assets la regulación europea que se aprobó en abril de 20 ,Positive,0.1779
White House Says Gold Reserves May Be Used to Purchase Bitcoin Comments,NewsAPI,white house says gold reserves may be used to purchase bitcoin comments,Neutral,0.0
Größter Diebstahl der Geschichte: Bybit nutzte Freeware und wurde dadurch Opfer Eine unsichere Freeware ermöglichte den Angreifern den Milliarden-Diebstahl bei Bybit. Die Probleme waren schon lang bekannt.,NewsAPI,größter diebstahl der geschichte bybit nutzte freeware und wurde dadurch opfer eine unsichere freeware ermöglichte den angreifern den milliarden diebstahl bei bybit die probleme waren schon lang bekannt ,Negative,-0.3612
"Is Tesla cooked? Tesla stock plunged 15 percent on Monday, its steepest drop in five years. The price is down over 50 percent since its December highs. Tesla owners, disgusted with Elon Muskâs slash-and-burn tactics for the Trump administration, are selling their vehicles a…",NewsAPI,is tesla cooked tesla stock plunged 15 percent on monday its steepest drop in five years the price is down over 50 percent since its december highs tesla owners disgusted with elon muskâ s slash and burn tactics for the trump administration are selling their vehicles a ,Negative,-0.765
"How to protect yourself from a recession The economy might take a dive, but you don't have to let it take you down with it.",NewsAPI,how to protect yourself from a recession the economy might take a dive but you don t have to let it take you down with it ,Neutral,-0.0258
"Crypto takes a dip as Trump signs Bitcoin Reserve order With no allowance to sell and little room to buy, and markets on the slide, it's UB40 time: Red, red, whine
Comment It's official: President Donald Trump signed an executive order Thursday to create a US Bitcoin reserve and stockpile of related digital assets…",NewsAPI,crypto takes a dip as trump signs bitcoin reserve order with no allowance to sell and little room to buy and markets on the slide it s ub40 time red red whine comment it s official president donald trump signed an executive order thursday to create a us bitcoin reserve and stockpile of related digital assets ,Negative,-0.2263
"Gemini Credit Card You spend money every day. Make it work for you while building a crypto portfolio with the Gemini Credit Card. Earn instant* rewards in Bitcoin, Solana, or 50+ other cryptocurrencies with every purchase. Customers can earn 4% back on gas...",NewsAPI,gemini credit card you spend money every day make it work for you while building a crypto portfolio with the gemini credit card earn instant rewards in bitcoin solana or 50 other cryptocurrencies with every purchase customers can earn 4 back on gas ,Positive,0.8074
Bitcoin Is Down 22% From Its Peak. History Says This Will Happen Next. ,NewsAPI,bitcoin is down 22 from its peak history says this will happen next ,Neutral,0.0
Analysts say Bitcoin reacted to inflation before the Fed woke up ,NewsAPI,analysts say bitcoin reacted to inflation before the fed woke up ,Neutral,0.0
"Like DOGE, XRP Going Vertical Is a Good Indicator of Market Froth, Bitcoin Peaks ",NewsAPI,like doge xrp going vertical is a good indicator of market froth bitcoin peaks ,Positive,0.6597
A Hash160 Collision Comments,NewsAPI,a hash160 collision comments,Negative,-0.3612
Kryptoreserve: Was bringt ein Fort Knox für Kryptowährungen? Aus Bitcoin und vier anderen digitalen Währungen will Donald Trump eine nationale Kryptoreserve schaffen. Er schürt die Gier – und stößt auf skeptische Märkte.,NewsAPI,kryptoreserve was bringt ein fort knox für kryptowährungen aus bitcoin und vier anderen digitalen währungen will donald trump eine nationale kryptoreserve schaffen er schürt die gier und stößt auf skeptische märkte ,Negative,-0.5994
"Meet the astronauts of SpaceX's Fram2 mission, the 1st to fly over Earth's poles The crew of SpaceX's pioneering Fram2 mission includes a polar explorer, a marine technology scientist, a filmmaker and a bitcoin magnate.",NewsAPI,meet the astronauts of spacex s fram2 mission the 1st to fly over earth s poles the crew of spacex s pioneering fram2 mission includes a polar explorer a marine technology scientist a filmmaker and a bitcoin magnate ,Neutral,0.0
"Tether acquired 8,888 bitcoin worth $735M in Q1 2025, taking its total holdings to $7.8B and making it the sixth-largest bitcoin holder in a single wallet (Yogita Khatri/The Block) Yogita Khatri / The Block:
Tether acquired 8,888 bitcoin worth $735M in Q1 2025, taking its total holdings to $7.8B and making it the sixth-largest bitcoin holder in a single wallet  —  Quick Take Tether acquired 8,888 BTC (worth about $735 million) in Q1 202…",NewsAPI,tether acquired 8 888 bitcoin worth 735m in q1 2025 taking its total holdings to 7 8b and making it the sixth largest bitcoin holder in a single wallet yogita khatri the block yogita khatri the block tether acquired 8 888 bitcoin worth 735m in q1 2025 taking its total holdings to 7 8b and making it the sixth largest bitcoin holder in a single wallet quick take tether acquired 8 888 btc worth about 735 million in q1 202 ,Negative,-0.2732
Le Bitcoin s’effondre : Donald Trump plonge les cryptos dans la crise Les annonces du président américain font très peur aux investisseurs.,NewsAPI,le bitcoin s effondre donald trump plonge les cryptos dans la crise les annonces du président américain font très peur aux investisseurs ,Neutral,0.0
"Krypto-Kurse: Aufstand im Krypto-Kasino Es sind nicht mehr nur windige Spekulanten, die Krypto-Kurse befeuern – jetzt tut es auch der US-Präsident. Der Verdacht: Seine Familie macht hier Geschäfte.",NewsAPI,krypto kurse aufstand im krypto kasino es sind nicht mehr nur windige spekulanten die krypto kurse befeuern jetzt tut es auch der us präsident der verdacht seine familie macht hier geschäfte ,Negative,-0.5994
Donald Trump va créer une « réserve crypto » : de quoi s’agit-il ? Une initiative qui génère de grosses critiques.,NewsAPI,donald trump va créer une réserve crypto de quoi s agit il une initiative qui génère de grosses critiques ,Negative,-0.2023
"Bitcoin fell all the way to $84,000 as Trump's crypto reserve failed to impress Just hours before the White House Crypto Summit, President Donald Trump signed an executive order to establish a strategic Bitcoin reserve and a separate stockpile of other digital assets. The news plunged Bitcoin to $84,000 Thursday evening, however, as the …",NewsAPI,bitcoin fell all the way to 84 000 as trump s crypto reserve failed to impress just hours before the white house crypto summit president donald trump signed an executive order to establish a strategic bitcoin reserve and a separate stockpile of other digital assets the news plunged bitcoin to 84 000 thursday evening however as the ,Positive,0.0772
Liveblog USA unter Trump: Bericht: Waltz hatte Goldbergs Nummer falsch eingespeichert Trump erwägt Inhaftierung von US-Bürgern in El Salvador +++ +++ Börsen in Asien und Bitcoin-Kurs rutschen infolge des US-Zollpakets ab +++ Trump erwartet für Aufhebung der Sonderzölle massive Geldzahlungen +++ alle Neuigkeiten im Liveblog,NewsAPI,liveblog usa unter trump bericht waltz hatte goldbergs nummer falsch eingespeichert trump erwägt inhaftierung von us bürgern in el salvador börsen in asien und bitcoin kurs rutschen infolge des us zollpakets ab trump erwartet für aufhebung der sonderzölle massive geldzahlungen alle neuigkeiten im liveblog,Neutral,0.0
WATCH: Endangered cheetah sanctuary breaks ground in Africa Cheetah Conservation Fund founder Laurie Marker discusses her organization’s fight to save cheetahs throughout the continent.,NewsAPI,watch endangered cheetah sanctuary breaks ground in africa cheetah conservation fund founder laurie marker discusses her organization s fight to save cheetahs throughout the continent ,Positive,0.1531
"David Sacks says the US may have lost over $16 billion in early liquidation of bitcoins Trump's executive order launching a Strategic Bitcoin Reserve marks a shift in US crypto policy, as David Sacks reveals a $16 billion bitcoin misstep.",NewsAPI,david sacks says the us may have lost over 16 billion in early liquidation of bitcoins trump s executive order launching a strategic bitcoin reserve marks a shift in us crypto policy as david sacks reveals a 16 billion bitcoin misstep ,Negative,-0.3182
WATCH: How social media helped fuel a female mechanic's business ABC News' Will Ganss is here with the story about Desiree Hill who found a massive online community when switching from nursing to auto work.,NewsAPI,watch how social media helped fuel a female mechanic s business abc news will ganss is here with the story about desiree hill who found a massive online community when switching from nursing to auto work ,Neutral,0.0
"WATCH: Bald eagle nest cam captures live hatch in California A live camera stream of a bald eagle nest in Southern California has gained viral attention, attracting hundreds of thousands of views this week.",NewsAPI,watch bald eagle nest cam captures live hatch in california a live camera stream of a bald eagle nest in southern california has gained viral attention attracting hundreds of thousands of views this week ,Positive,0.6908
"WATCH: Hockey great Alex Ovechkin making a difference Alex Ovechkin, one of the greatest hockey players of all time, is approaching Wayne Gretzky's all-time record of 894 goals scored while playing for a great cause.",NewsAPI,watch hockey great alex ovechkin making a difference alex ovechkin one of the greatest hockey players of all time is approaching wayne gretzky s all time record of 894 goals scored while playing for a great cause ,Positive,0.9349
"Bitcoin is here to stay — and heading to $200,000, Anthony Scaramucci says SkyBridge Capital CEO Anthony Scaramucci is pretty optimistic about the future of Bitcoin, as his former boss, President Donald Trump, directs his administration’s friendly approach to cryptocurrency.Read more...",NewsAPI,bitcoin is here to stay and heading to 200 000 anthony scaramucci says skybridge capital ceo anthony scaramucci is pretty optimistic about the future of bitcoin as his former boss president donald trump directs his administration s friendly approach to cryptocurrency read more ,Positive,0.8271
heise+ | Vermögensaufbau: Der Weg zur ersten Million Die erste Million Euro ist für jeden erreichbar – wenn man früh genug mit dem Investieren beginnt und den Zinseszinseffekt nutzt.,NewsAPI,heise vermögensaufbau der weg zur ersten million die erste million euro ist für jeden erreichbar wenn man früh genug mit dem investieren beginnt und den zinseszinseffekt nutzt ,Negative,-0.5994
"What Are Stablecoins? Stablecoins—cryptocurrencies tied to the U.S. dollar—are gaining traction globally and in Washington, with The STABLE and GENIUS Acts.",NewsAPI,what are stablecoins stablecoins cryptocurrencies tied to the u s dollar are gaining traction globally and in washington with the stable and genius acts ,Positive,0.6124
"Bitcoin, BNB, XRP, and more cryptocurrencies to watch this week Even with friends in high places, crypto’s instability is showing as investors respond to President Donald Trump’s trade war and reports of deal talks between Binance U.S. and the Trump family. Amidst the market chaos tariffs have wrought, here are some crypt…",NewsAPI,bitcoin bnb xrp and more cryptocurrencies to watch this week even with friends in high places crypto s instability is showing as investors respond to president donald trump s trade war and reports of deal talks between binance u s and the trump family amidst the market chaos tariffs have wrought here are some crypt ,Negative,-0.6705
"Bitcoin falls below $83,000 as Trump's pro-crypto push fails to impress and recession fears grow Bitcoin tumbled as low as $80,000 on Sunday, slightly bouncing back before hitting a new low this year, as fears of a recession loom.Read more...",NewsAPI,bitcoin falls below 83 000 as trump s pro crypto push fails to impress and recession fears grow bitcoin tumbled as low as 80 000 on sunday slightly bouncing back before hitting a new low this year as fears of a recession loom read more ,Negative,-0.9349
"Bitcoin is here to stay but meme coins have hurt the crypto market, Anthony Scaramucci says Anthony Scaramucci, who recently authored The Little Book of Bitcoin and previously worked for Trump, breaks down the news in the crypto market",NewsAPI,bitcoin is here to stay but meme coins have hurt the crypto market anthony scaramucci says anthony scaramucci who recently authored the little book of bitcoin and previously worked for trump breaks down the news in the crypto market,Negative,-0.6808
"20 Plagues Y Combinator Unleashed on the World Over the Last 20 Years On the foundational startup incubator’s 20th birthday, let’s remember some of the worst things it’s done.",NewsAPI,20 plagues y combinator unleashed on the world over the last 20 years on the foundational startup incubator s 20th birthday let s remember some of the worst things it s done ,Negative,-0.6249
"Tether, Bitcoin, XRP, and more cryptocurrencies to watch this week Stablecoins are getting some extra attention after President Donald Trump told a crypto conference Thursday that he’s called on congress to pass “simple, common-sense rules for stablecoins.” Plus, what’s next for Bitcoin in 2025? Betting markets seem to think…",NewsAPI,tether bitcoin xrp and more cryptocurrencies to watch this week stablecoins are getting some extra attention after president donald trump told a crypto conference thursday that he s called on congress to pass simple common sense rules for stablecoins plus what s next for bitcoin in 2025 betting markets seem to think ,Neutral,0.0
"Bitcoin will hit $200,000 by 2026, Anthony Scaramucci says Regulatory clarity and new directives from the Trump administration will play a large role",NewsAPI,bitcoin will hit 200 000 by 2026 anthony scaramucci says regulatory clarity and new directives from the trump administration will play a large role,Positive,0.6249
"Nvidia stock nosedives, Bitcoin bleeds, and the Trump bump is over: Markets news roundup Nvidia (NVDA), Super Micro Computer (SMCI), and Dell (DELL) shares plunged Monday after Singapore said it’s investigating whether servers shipped to Malaysia containing chips barred from China ended up in the mainland. Read more...",NewsAPI,nvidia stock nosedives bitcoin bleeds and the trump bump is over markets news roundup nvidia nvda super micro computer smci and dell dell shares plunged monday after singapore said it s investigating whether servers shipped to malaysia containing chips barred from china ended up in the mainland read more ,Positive,0.7269
"Las bolsas en EEUU se han desplomado. ""Las siete magníficas"" de la tecnología y las criptos son las más afectadas Wall Street está teniendo un 2025 especialmente negro. En los últimos dos años el índice S&P 500, que agrupa a 500 de las empresas más importantes de EEUU, ha sufrido una caída del 7,39% en un mes y está en niveles de hace seis meses, justo antes de las elecc…",NewsAPI,las bolsas en eeuu se han desplomado las siete magníficas de la tecnología y las criptos son las más afectadas wall street está teniendo un 2025 especialmente negro en los últimos dos años el índice s p 500 que agrupa a 500 de las empresas más importantes de eeuu ha sufrido una caída del 7 39 en un mes y está en niveles de hace seis meses justo antes de las elecc ,Positive,0.34
"Pagar las cañas con Bizum en el TPV ya es posible en España. BBVA es el responsable BBVA será el primer banco de España en integrar Bizum como método de pago en sistemas TPV. Hasta ahora, los Terminales de Punto de Venta servían como intermediario entre el comercio físico y la tarjeta de crédito/débito del consumidor. Con la nueva integració…",NewsAPI,pagar las cañas con bizum en el tpv ya es posible en españa bbva es el responsable bbva será el primer banco de españa en integrar bizum como método de pago en sistemas tpv hasta ahora los terminales de punto de venta servían como intermediario entre el comercio físico y la tarjeta de crédito débito del consumidor con la nueva integració ,Neutral,0.0
"Un joven de 19 años hackeó el iPhone, fue contratado por Apple y terminó despedido por no contestar a un correo El iPhone lleva casi 17 años entre nosotros. Durante todo este tiempo, el teléfono ha cambiado mucho, pero algunas cosas se han mantenido prácticamente intactas desde su lanzamiento. Una de ellas es el ecosistema cerrado al que pertenecen los productos de App…",NewsAPI,un joven de 19 años hackeó el iphone fue contratado por apple y terminó despedido por no contestar a un correo el iphone lleva casi 17 años entre nosotros durante todo este tiempo el teléfono ha cambiado mucho pero algunas cosas se han mantenido prácticamente intactas desde su lanzamiento una de ellas es el ecosistema cerrado al que pertenecen los productos de app ,Positive,0.0516
Strategic Bitcoin Reserve: Will The U.S. Government Buy Bitcoin? The Trump administration clearly believes bitcoin is important. But will the U.S. Treasury be able to add to its new bitcoin reserve while remaining budget-neutral?,NewsAPI,strategic bitcoin reserve will the u s government buy bitcoin the trump administration clearly believes bitcoin is important but will the u s treasury be able to add to its new bitcoin reserve while remaining budget neutral ,Positive,0.5346
"« Une boucherie » : Donald Trump vient-il d’assassiner la Tech américaine ? Apple, Meta, Amazon, ou encore Microsoft se sont effondrés ce jeudi en Bourse.",NewsAPI, une boucherie donald trump vient il d assassiner la tech américaine apple meta amazon ou encore microsoft se sont effondrés ce jeudi en bourse ,Positive,0.1779
"‘America Must Adapt’: The Fight For Crypto Dominance In The U.S. The BITCOIN Act pushes a U.S. Bitcoin reserve, aiming for financial security. Lawmakers debate its future as crypto policy evolves.",NewsAPI, america must adapt the fight for crypto dominance in the u s the bitcoin act pushes a u s bitcoin reserve aiming for financial security lawmakers debate its future as crypto policy evolves ,Positive,0.1531
"The crypto-lending industry, nearly wiped out in the last bear market, is staging a comeback as Cantor Fitzgerald launches a $2B Bitcoin financing business (David Pan/Bloomberg) David Pan / Bloomberg:
The crypto-lending industry, nearly wiped out in the last bear market, is staging a comeback as Cantor Fitzgerald launches a $2B Bitcoin financing business  —  The last major bear market nearly wiped out the entire crypto-lending indust…",NewsAPI,the crypto lending industry nearly wiped out in the last bear market is staging a comeback as cantor fitzgerald launches a 2b bitcoin financing business david pan bloomberg david pan bloomberg the crypto lending industry nearly wiped out in the last bear market is staging a comeback as cantor fitzgerald launches a 2b bitcoin financing business the last major bear market nearly wiped out the entire crypto lending indust ,Neutral,0.0
Rabea Rogge: Deutschlands erste Astronautin soll bald ins All fliegen Die erste deutsche Astronautin Rabea Rogge fliegt mit einer SpaceX-Mission ins All. Sie wird von dem Kryptomilliardär Chun Wang finanziert.,NewsAPI,rabea rogge deutschlands erste astronautin soll bald ins all fliegen die erste deutsche astronautin rabea rogge fliegt mit einer spacex mission ins all sie wird von dem kryptomilliardär chun wang finanziert ,Negative,-0.5994
